,ï»¿REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
22,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221013,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,10/1/13,12/31/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
23,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221013,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,10/1/13,12/31/13,9621009,3/1/18,RETURN TO COMPLIANCE
24,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221014,"MCL,  AVERAGE",ARSENIC,24.3 UG/L,10 UG/L,1/1/14,3/31/14,9621009,3/1/18,RETURN TO COMPLIANCE
25,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221014,"MCL,  AVERAGE",ARSENIC,24.3 UG/L,10 UG/L,1/1/14,3/31/14,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
26,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221015,"MCL,  AVERAGE",ARSENIC,24.1 UG/L,10 UG/L,7/1/14,9/30/14,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
27,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221015,"MCL,  AVERAGE",ARSENIC,24.1 UG/L,10 UG/L,7/1/14,9/30/14,9621009,3/1/18,RETURN TO COMPLIANCE
28,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221016,"MCL,  AVERAGE",ARSENIC,23.6 UG/L,10 UG/L,10/1/14,12/31/14,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
29,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221016,"MCL,  AVERAGE",ARSENIC,23.6 UG/L,10 UG/L,10/1/14,12/31/14,9621009,3/1/18,RETURN TO COMPLIANCE
30,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221017,"MCL,  AVERAGE",ARSENIC,24.0 UG/L,10 UG/L,4/1/15,6/30/15,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
31,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221017,"MCL,  AVERAGE",ARSENIC,24.0 UG/L,10 UG/L,4/1/15,6/30/15,9621009,3/1/18,RETURN TO COMPLIANCE
32,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221023,"MCL,  AVERAGE",ARSENIC,26.1 UG/L,10 UG/L,1/1/12,3/31/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
33,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221023,"MCL,  AVERAGE",ARSENIC,26.1 UG/L,10 UG/L,1/1/12,3/31/12,9621009,3/1/18,RETURN TO COMPLIANCE
34,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221024,"MCL,  AVERAGE",ARSENIC,25.8 UG/L,10 UG/L,4/1/12,6/30/12,9621009,3/1/18,RETURN TO COMPLIANCE
35,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221024,"MCL,  AVERAGE",ARSENIC,25.8 UG/L,10 UG/L,4/1/12,6/30/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
36,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221025,"MCL,  AVERAGE",ARSENIC,23.8 UG/L,10 UG/L,1/1/15,3/31/15,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
37,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221025,"MCL,  AVERAGE",ARSENIC,23.8 UG/L,10 UG/L,1/1/15,3/31/15,9621009,3/1/18,RETURN TO COMPLIANCE
38,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221026,"MCL,  AVERAGE",ARSENIC,24.0 UG/L, ,10/1/15,12/31/15,9621006,1/15/16,FORMAL ENFORCEMENT ACTION ISSUED
39,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221026,"MCL,  AVERAGE",ARSENIC,24.0 UG/L, ,10/1/15,12/31/15,9621009,3/1/18,RETURN TO COMPLIANCE
40,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221030,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,1/1/16,3/31/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
41,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221031,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,4/1/16,6/30/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
42,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221032,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,7/1/16,9/30/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
43,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221033,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,10/1/16,12/31/16,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
44,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221034,"MCL,  AVERAGE",ARSENIC,25 UG/L,10 UG/L,1/1/17,3/31/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
45,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221035,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,4/1/17,6/30/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
46,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221036,"MCL,  AVERAGE",ARSENIC,26 UG/L,10 UG/L,7/1/17,9/30/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
47,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221037,"MCL,  AVERAGE",ARSENIC,24 UG/L,10 UG/L,10/1/17,12/31/17,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
48,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221038,"MCL,  AVERAGE",ARSENIC,23 UG/L,10 UG/L,1/1/18,3/31/18,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
49,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221039,"MCL,  AVERAGE",ARSENIC,25.1 UG/L,10 UG/L,4/1/18,6/30/18,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
50,LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600006,"MCL,  AVERAGE",ARSENIC,11 MG/L,0.010 MG/L,10/1/15,12/31/15,9700080,8/15/17,FORMAL ENFORCEMENT ACTION ISSUED
51,LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600006,"MCL,  AVERAGE",ARSENIC,11 MG/L,0.010 MG/L,10/1/15,12/31/15,9700079,1/20/16,INFORMAL ENFORCEMENT ACTION ISSUED
52,LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600007,"MCL,  AVERAGE",ARSENIC,10 UG/L,5 UG/L,4/1/14,4/30/14,9700080,8/15/17,FORMAL ENFORCEMENT ACTION ISSUED
53,LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600007,"MCL,  AVERAGE",ARSENIC,10 UG/L,5 UG/L,4/1/14,4/30/14,1601606,7/28/16,INFORMAL ENFORCEMENT ACTION ISSUED
54,LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,COMMUNITY,100,50,EL DORADO,EL DORADO,95623,1600008,"MCL,  AVERAGE",ARSENIC,18 UG/L, ,1/1/16,12/31/16,9700081,11/29/17,FORMAL ENFORCEMENT ACTION ISSUED
147,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223028,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,1/1/12,3/31/12,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
148,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223028,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,1/1/12,3/31/12,1023363,6/30/13,RETURN TO COMPLIANCE
149,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223029,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,4/1/12,6/30/12,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
150,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223029,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,4/1/12,6/30/12,1023363,6/30/13,RETURN TO COMPLIANCE
151,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223030,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,7/1/12,9/30/12,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
152,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223030,"MCL,  AVERAGE",ARSENIC,.01380000 MG/L,0.010 MG/L,7/1/12,9/30/12,1023363,6/30/13,RETURN TO COMPLIANCE
153,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223031,"MCL,  AVERAGE",ARSENIC,11.6 UG/L,10 UG/L,1/1/13,3/31/13,1023363,6/30/13,RETURN TO COMPLIANCE
154,DISTRICT 23 - FRESNO,CA1000042,FCWWD #40/SHAVER SPRINGS,COMMUNITY,193,69,FRESNO,PINERIDGE,93602,1223031,"MCL,  AVERAGE",ARSENIC,11.6 UG/L,10 UG/L,1/1/13,3/31/13,1023361,4/27/10,FORMAL ENFORCEMENT ACTION ISSUED
182,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,1223033,"MCL,  AVERAGE",ARSENIC,.02250000 MG/L,0.010 MG/L,1/1/12,3/31/12,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
183,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,1223034,"MCL,  AVERAGE",ARSENIC,.02280000 MG/L,0.010 MG/L,4/1/12,6/30/12,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
184,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,1223035,"MCL,  AVERAGE",ARSENIC,.02150000 MG/L,0.010 MG/L,7/1/12,9/30/12,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
185,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600004,"MCL,  AVERAGE",ARSENIC,0.021 MG/L,0.010 MG/L,10/1/12,12/31/12,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
186,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600005,"MCL,  AVERAGE",ARSENIC,20.0 UG/L,10.0 UG/L,1/1/13,3/31/13,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
187,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600006,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,4/1/13,6/30/13,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
188,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600007,"MCL,  AVERAGE",ARSENIC,20.3 UG/L,10 UG/L,7/1/13,9/30/13,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
189,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600008,"MCL,  AVERAGE",ARSENIC,0.0208 MG/L,0.010 MG/L,10/1/13,12/31/13,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
190,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600009,"MCL,  AVERAGE",ARSENIC,0.0208 MG/L,0.010 MG/L,1/1/14,3/31/14,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
191,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600010,"MCL,  AVERAGE",ARSENIC,0.0208 MG/L,0.010 MG/L,4/1/14,6/30/14,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
192,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600011,"MCL,  AVERAGE",ARSENIC,0.014 MG/L,0.010 MG/L,7/1/14,9/30/14,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
193,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600012,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,10/1/14,12/31/14,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
194,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600013,"MCL,  AVERAGE",ARSENIC,0.0165 MG/L,0.010 MG/L,1/1/15,3/31/15,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
195,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600014,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,4/1/15,6/30/15,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
196,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600015,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,7/1/15,9/30/15,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
197,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600016,"MCL,  AVERAGE",ARSENIC,0.0298 MG/L,0.010 MG/L,10/1/15,12/31/15,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
198,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600017,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,1/1/16,3/31/16,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
199,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600018,"MCL,  AVERAGE",ARSENIC,0.0193 MG/L,0.010 MG/L,4/1/16,6/30/16,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
200,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600019,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,7/1/16,9/30/16,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
201,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600020,"MCL,  AVERAGE",ARSENIC,0.0193 MG/L,0.010 MG/L,10/1/16,12/31/16,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
202,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600022,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,1/1/17,3/31/17,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
203,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600023,"MCL,  AVERAGE",ARSENIC,0.020 MG/L,0.010 MG/L,4/1/17,6/30/17,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
204,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600024,"MCL,  AVERAGE",ARSENIC,0.020 MG/L,0.010 MG/L,7/1/17,9/30/17,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
205,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600025,"MCL,  AVERAGE",ARSENIC,0.020 MG/L,0.010 MG/L,10/1/17,12/31/17,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
206,DISTRICT 23 - FRESNO,CA1000053,LANARE COMMUNITY SERVICES DIST,COMMUNITY,660,153,FRESNO,RIVERDALE,93656,9600026,"MCL,  AVERAGE",ARSENIC,0.020 MG/L,0.010 MG/L,1/1/18,3/31/18,923296,5/18/09,FORMAL ENFORCEMENT ACTION ISSUED
211,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123006,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/14,9/30/14,1323011,3/26/15,FORMAL ENFORCEMENT ACTION ISSUED
212,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123006,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/14,9/30/14,1323008,12/31/14,FORMAL ENFORCEMENT ACTION ISSUED
213,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123006,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/14,9/30/14,1323010,2/3/15,STATE INTENTIONAL NO ACTION TAKEN
214,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123006,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/14,9/30/14,1323015,8/9/17,FORMAL ENFORCEMENT ACTION ISSUED
215,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123006,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/14,9/30/14,1323009,2/3/15,FORMAL ENFORCEMENT ACTION ISSUED
216,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123007,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,10/1/14,12/31/14,1323011,3/26/15,FORMAL ENFORCEMENT ACTION ISSUED
217,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123007,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,10/1/14,12/31/14,1323009,2/3/15,FORMAL ENFORCEMENT ACTION ISSUED
218,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123007,"MCL,  AVERAGE",ARSENIC,0.019 MG/L,0.010 MG/L,10/1/14,12/31/14,1323015,8/9/17,FORMAL ENFORCEMENT ACTION ISSUED
219,DISTRICT 23 - FRESNO,CA1000071,LAKEVIEW IMPROVEMENT ASSOCIATION #1,COMMUNITY,160,65,FRESNO,SHAVER LAKE,93664,1123008,"MCL,  AVERAGE",ARSENIC,0.035 MG/L,0.010 MG/L,1/1/15,3/31/15,1323015,8/9/17,FORMAL ENFORCEMENT ACTION ISSUED
