,phrase,contaminant,date,city,county,title,page_url
20," “But having arsenic, nitrate or pesticides flowing from your tap is equally an emergency.",nitrate,"May 22, 2017","['Sacramento', 'Davis']",[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
21," Drinking water with contaminants like arsenic and nitrate can cause rashes, miscarriages, and cancer.",arsenic,"April 20, 2017","['Lanare', 'Alpaugh', 'Sacramento', 'San Joaquin', 'Arvin']",[],Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
22," Drinking water with contaminants like arsenic and nitrate can cause rashes, miscarriages, and cancer.",nitrate,"April 20, 2017","['Lanare', 'Alpaugh', 'Sacramento', 'San Joaquin', 'Arvin']",[],Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
23,""" Excellent story on the Glenwood Mobile Home Park outside Stockton, which recently drilled a new well to address nitrate contamination.",nitrate,"February 25, 2017","['Fresno', 'Stockton', 'Sacramento', 'Monterey', 'Pacifica']",[],Recent Media Coverage of California Drinking Water Crisis - Community Water Center,https://www.communitywatercenter.org/recent_media_coverage
24,"
For example, 600 residents living in the Fresno County community of Lanare have had tap water contaminated with unsafe arsenic levels for more than a decade, putting anyone who drinks the water at increased risk for skin rashes, nausea and even cancer from long-term exposure.",arsenic,"February 21, 2017","['Sacramento', 'Lanare', 'Fresno']",[],Our Op-Ed in the Sunday Sacramento Bee! - Community Water Center,https://www.communitywatercenter.org/sacbeeoped
25,"
Lanare has an arsenic treatment plant, but shockingly, it sits unused.",arsenic,"February 21, 2017","['Sacramento', 'Lanare', 'Fresno']",[],Our Op-Ed in the Sunday Sacramento Bee! - Community Water Center,https://www.communitywatercenter.org/sacbeeoped
26," In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.",arsenic,"February 13, 2017",['Oakland'],[],Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
27," In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.",nitrate,"February 13, 2017",['Oakland'],[],Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
28," In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.",nitrates,"February 13, 2017",['Oakland'],[],Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
29," Glenwood's well was contaminated with nitrates, possibly from fertilizer applied by farmers in the area, though that is uncertain.",nitrate,"February 12, 2017","['San Joaquin', 'Stockton', 'Visalia']",[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
30,"
There is a happy ending to the story: Glenwood's owner just forked over $300,000 to drill a new, much deeper well that has eliminated the nitrates.",nitrate,"February 12, 2017","['San Joaquin', 'Stockton', 'Visalia']",[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
31,"
A second well was drilled, but by 2009, it, too, was tapping nitrate-laden water.",nitrate,"February 12, 2017","['San Joaquin', 'Stockton', 'Visalia']",[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
32," County officials said the health risk pertained mostly to infants under the age of 6 months, who could quickly become seriously ill or even die from drinking nitrates.",nitrate,"February 12, 2017","['San Joaquin', 'Stockton', 'Visalia']",[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
33," Glenwood's well was contaminated with nitrates, possibly from fertilizer applied by farmers in the area, though that is uncertain.",nitrates,"February 12, 2017","['San Joaquin', 'Stockton', 'Visalia']",[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
34,"
There is a happy ending to the story: Glenwood's owner just forked over $300,000 to drill a new, much deeper well that has eliminated the nitrates.",nitrates,"February 12, 2017","['San Joaquin', 'Stockton', 'Visalia']",[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
35," County officials said the health risk pertained mostly to infants under the age of 6 months, who could quickly become seriously ill or even die from drinking nitrates.",nitrates,"February 12, 2017","['San Joaquin', 'Stockton', 'Visalia']",[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
36," It was one of the schools tested for other metals, including lead, arsenic, copper and zinc, and came up within acceptable levels on all and below detection level on the arsenic.",arsenic,"February 11, 2017","['Elk Grove', 'Ceres', 'Folsom', 'Sacramento', 'Westport', 'Davis', 'Williams', 'Sutter']",[],Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
37,", where lead contamination made headlines, “a drinking water crisis” in California also exists involving tap water contaminated with nitrates, arsenic and disinfection byproducts, said Laurel Firestone, co-director of the Community Water Center, which began in Visalia and has an office in Sacramento.",arsenic,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
38," 
The fund could help fix water systems that have either man-made or natural contamination – the arsenic in the water supply for Kettleman City is naturally occurring, for instance.",arsenic,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
39,", where lead contamination made headlines, “a drinking water crisis” in California also exists involving tap water contaminated with nitrates, arsenic and disinfection byproducts, said Laurel Firestone, co-director of the Community Water Center, which began in Visalia and has an office in Sacramento.",nitrate,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
40,"”
The issue affects low-income communities disproportionately, and nitrate contamination disproportionately affects Latino communities, Firestone said.",nitrate,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
41,"
Assemblyman Devon Mathis, R-Visalia, whose district includes East Porterville where wells ran dry in the drought and where nitrates have been found in drinking water, issued a statement.",nitrate,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
42,"
“There are people coming down with rashes due to nitrates in the water,” she said.",nitrate,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
43,"
The advocacy groups did not specifically mention agriculture at a news conference Tuesday but “we know we can’t solve the nitrate problem without agriculture being part of the solution,” said Jenny Rempel, director of education and engagement for Community Water Center, following the news conference.",nitrate,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
44,", where lead contamination made headlines, “a drinking water crisis” in California also exists involving tap water contaminated with nitrates, arsenic and disinfection byproducts, said Laurel Firestone, co-director of the Community Water Center, which began in Visalia and has an office in Sacramento.",nitrates,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
45,"
Assemblyman Devon Mathis, R-Visalia, whose district includes East Porterville where wells ran dry in the drought and where nitrates have been found in drinking water, issued a statement.",nitrates,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
46,"
“There are people coming down with rashes due to nitrates in the water,” she said.",nitrates,"February 10, 2017","['Fresno', 'Washington', 'Sacramento', 'Davis', 'Tulare', 'East Porterville', 'Patterson', 'Visalia', 'San Joaquin', 'Seville', 'Los Angeles', 'Kettleman City', 'Oakland']",['Tulare'],Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
47,"
The tiny community of San Lucas, eight miles southeast of King City where the Salinas Valley floor rises and begins to fade into hills, has been on bottled water restrictions since October 2016 after two tests found the well supplying drinking water had elevated levels of nitrates.",nitrate,"February 10, 2017","['King City', 'Monterey', 'Salinas', 'San Lucas', 'Wendel']",[],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
48,"”
San Lucas was on bottled water restrictions from 2011-14 after a different well supplying water to the community was found to have levels of nitrates that exceeded state and federal standards.",nitrate,"February 10, 2017","['King City', 'Monterey', 'Salinas', 'San Lucas', 'Wendel']",[],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
49," The well remained a reliable source of water for nearly two years, until elevated nitrate levels were found in two separate tests in July and September of 2016.",nitrate,"February 10, 2017","['King City', 'Monterey', 'Salinas', 'San Lucas', 'Wendel']",[],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
50,"
The tiny community of San Lucas, eight miles southeast of King City where the Salinas Valley floor rises and begins to fade into hills, has been on bottled water restrictions since October 2016 after two tests found the well supplying drinking water had elevated levels of nitrates.",nitrates,"February 10, 2017","['King City', 'Monterey', 'Salinas', 'San Lucas', 'Wendel']",[],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
51,"”
San Lucas was on bottled water restrictions from 2011-14 after a different well supplying water to the community was found to have levels of nitrates that exceeded state and federal standards.",nitrates,"February 10, 2017","['King City', 'Monterey', 'Salinas', 'San Lucas', 'Wendel']",[],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
52," They found not only just nitrates, but also TCP.",nitrate,"February 10, 2017","['Seville', 'Coachella', 'Davis']",[],Standing Room Only: Briefing California Legislators on the Importance of Funding Safe Drinking Water - Community Water Center,https://www.communitywatercenter.org/standing_room_only
53," They found not only just nitrates, but also TCP.",nitrates,"February 10, 2017","['Seville', 'Coachella', 'Davis']",[],Standing Room Only: Briefing California Legislators on the Importance of Funding Safe Drinking Water - Community Water Center,https://www.communitywatercenter.org/standing_room_only
54,"”
Water justice advocates have been working for years to secure a sustainable source of funding to address water affordability challenges and meet both capital cost and operation and maintenance (O&M) needs in low-income communities impacted by nitrates, arsenic, pesticides, and other contaminants.",arsenic,"January 12, 2017","['Sacramento', 'Tulare', 'Alpaugh']",['Tulare'],News Release: Safe and Affordable Drinking Water Needs Recognized in California Budget - Community Water Center,https://www.communitywatercenter.org/news_release_water_california_budget_2017
55,"”
Water justice advocates have been working for years to secure a sustainable source of funding to address water affordability challenges and meet both capital cost and operation and maintenance (O&M) needs in low-income communities impacted by nitrates, arsenic, pesticides, and other contaminants.",nitrate,"January 12, 2017","['Sacramento', 'Tulare', 'Alpaugh']",['Tulare'],News Release: Safe and Affordable Drinking Water Needs Recognized in California Budget - Community Water Center,https://www.communitywatercenter.org/news_release_water_california_budget_2017
56,"”
Water justice advocates have been working for years to secure a sustainable source of funding to address water affordability challenges and meet both capital cost and operation and maintenance (O&M) needs in low-income communities impacted by nitrates, arsenic, pesticides, and other contaminants.",nitrates,"January 12, 2017","['Sacramento', 'Tulare', 'Alpaugh']",['Tulare'],News Release: Safe and Affordable Drinking Water Needs Recognized in California Budget - Community Water Center,https://www.communitywatercenter.org/news_release_water_california_budget_2017
57," No matter what the state says about our water levels being within the threshold of what’s considered safe for arsenic, I know that no level of arsenic is safe.",arsenic,"December 30, 2016","['San Joaquin', 'East Porterville', 'Jackson', 'Washington']",[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
58," Water polluted with nitrates, arsenic, and pesticides looks, smells, and tastes safe, but drinking contaminated water can cause nausea, miscarriages, and cancer.",arsenic,"December 30, 2016","['San Joaquin', 'East Porterville', 'Jackson', 'Washington']",[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
59," Water polluted with nitrates, arsenic, and pesticides looks, smells, and tastes safe, but drinking contaminated water can cause nausea, miscarriages, and cancer.",nitrate,"December 30, 2016","['San Joaquin', 'East Porterville', 'Jackson', 'Washington']",[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
60," Water polluted with nitrates, arsenic, and pesticides looks, smells, and tastes safe, but drinking contaminated water can cause nausea, miscarriages, and cancer.",nitrates,"December 30, 2016","['San Joaquin', 'East Porterville', 'Jackson', 'Washington']",[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
61,"”
Wieckowski’s bill followed a 2015 report by the State Water Resources Control Board that found small water systems more often have violations for contaminants such as arsenic, nitrate and uranium.",arsenic,"December 14, 2016","['Fresno', 'Orange', 'Fremont', 'Tulare', 'Sanger', 'Bodega', 'Sonoma', 'Williams']",['Tulare'],Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
62," After multiple high levels of arsenic, the Pratt Mutual Water Company, which served about 1,500 mostly poor and Latino residents in the Matheny Tract community of Tulare County, was mandated to join the city of Tulare system.",arsenic,"December 14, 2016","['Fresno', 'Orange', 'Fremont', 'Tulare', 'Sanger', 'Bodega', 'Sonoma', 'Williams']",['Tulare'],Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
63,"”
Wieckowski’s bill followed a 2015 report by the State Water Resources Control Board that found small water systems more often have violations for contaminants such as arsenic, nitrate and uranium.",nitrate,"December 14, 2016","['Fresno', 'Orange', 'Fremont', 'Tulare', 'Sanger', 'Bodega', 'Sonoma', 'Williams']",['Tulare'],Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
64," The school’s own system was giving students and staff water with high levels of nitrate, a naturally occurring chemical that can be elevated because of agricultural runoff.",nitrate,"December 14, 2016","['Fresno', 'Orange', 'Fremont', 'Tulare', 'Sanger', 'Bodega', 'Sonoma', 'Williams']",['Tulare'],Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
65,"
Sepulveda said he knew nitrates were a problem but not lead.",nitrate,"December 14, 2016","['Fresno', 'Orange', 'Fremont', 'Tulare', 'Sanger', 'Bodega', 'Sonoma', 'Williams']",['Tulare'],Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
66,"
Sepulveda said he knew nitrates were a problem but not lead.",nitrates,"December 14, 2016","['Fresno', 'Orange', 'Fremont', 'Tulare', 'Sanger', 'Bodega', 'Sonoma', 'Williams']",['Tulare'],Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
67," The other one is polluted with nitrates, colorless odorless contaminants linked to fertilizer use.",nitrate,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
68,"
Boiling nitrates, by the way, doesn’t get rid of them.",nitrate,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
69, One of the town’s wells has high level of nitrates.,nitrate,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
70," The other one is polluted with nitrates, colorless odorless contaminants linked to fertilizer use.",nitrates,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
71,"
Boiling nitrates, by the way, doesn’t get rid of them.",nitrates,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
72, One of the town’s wells has high level of nitrates.,nitrates,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
73,"html


 
A state water agency has told some farmers in Tulare County that their operations caused nitrates to get into drinking water, and that the contamination must be replaced with a clean source.",nitrate,"October 22, 2016","['Citrus', 'Castroville', 'Fresno', 'Sacramento', 'Orange', 'Poplar', 'Davis', 'Lindsay', 'Tulare', 'San Joaquin', 'Visalia', 'Ivanhoe', 'Salinas']",['Tulare'],State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
74," Nitrates are a byproduct of nitrogen in fertilizers used in agriculture for decades, although some farmers point out nitrates also occur naturally.",nitrate,"October 22, 2016","['Citrus', 'Castroville', 'Fresno', 'Sacramento', 'Orange', 'Poplar', 'Davis', 'Lindsay', 'Tulare', 'San Joaquin', 'Visalia', 'Ivanhoe', 'Salinas']",['Tulare'],State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
75,"
LoBue said the answer to the nitrate problem in drinking water should not involve the enforcement division of the state board.",nitrate,"October 22, 2016","['Citrus', 'Castroville', 'Fresno', 'Sacramento', 'Orange', 'Poplar', 'Davis', 'Lindsay', 'Tulare', 'San Joaquin', 'Visalia', 'Ivanhoe', 'Salinas']",['Tulare'],State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
76," 
“It’s the only mechanism we have” to help the small water systems serving poor communities get nitrate-free drinking water, she said.",nitrate,"October 22, 2016","['Citrus', 'Castroville', 'Fresno', 'Sacramento', 'Orange', 'Poplar', 'Davis', 'Lindsay', 'Tulare', 'San Joaquin', 'Visalia', 'Ivanhoe', 'Salinas']",['Tulare'],State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
77,"6 million people rely on groundwater polluted by nitrates, including many of the poorest communities in the state.",nitrate,"October 22, 2016","['Citrus', 'Castroville', 'Fresno', 'Sacramento', 'Orange', 'Poplar', 'Davis', 'Lindsay', 'Tulare', 'San Joaquin', 'Visalia', 'Ivanhoe', 'Salinas']",['Tulare'],State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
78,"”
Problems with the water
The problem of nitrates in drinking water has been a ticking time bomb in farm country for years, especially since 2010, when the Legislature ordered the State Water Resources Control Board to prepare a report about nitrates in drinking water.",nitrate,"October 22, 2016","['Citrus', 'Castroville', 'Fresno', 'Sacramento', 'Orange', 'Poplar', 'Davis', 'Lindsay', 'Tulare', 'San Joaquin', 'Visalia', 'Ivanhoe', 'Salinas']",['Tulare'],State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
79,"
Two years later, the Harter report from UC Davis came out, stating that 96 percent of human-generated nitrates entering groundwater in the Tulare Lake Basin and Salinas Valley came from cropland.",nitrate,"October 22, 2016","['Citrus', 'Castroville', 'Fresno', 'Sacramento', 'Orange', 'Poplar', 'Davis', 'Lindsay', 'Tulare', 'San Joaquin', 'Visalia', 'Ivanhoe', 'Salinas']",['Tulare'],State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
