" 

NEW OFFICE IN WATSONVILLE, CA

We are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.","September 17, 2018","['Fresno', 'Watsonville', 'Porterville', 'Sacramento', 'Visalia']","['Sacramento', 'Fresno']",August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
"org, 559-284-6327
 
FOR IMMEDIATE RELEASE (Sacramento, CA, July 18, 2017) — Today the State Water Resources Control Board voted to create a new legal limit, or maximum contaminant level (MCL), on 1,2,3-Trichloropropane (TCP), a man-made, carcinogenic drinking water contaminant found across the state.","July 24, 2017",[],[],"PRESS RELEASE: State Votes to Protect Californians From Carcinogen, TCP  - Community Water Center",https://www.communitywatercenter.org/press_release_tcp
"” 
Hundreds of California communities are out of compliance with state and federal drinking water standards, and some communities have had arsenic flowing from their taps for more than a decade.","June 30, 2017",[],[],California Budget Takes Steps to Address State’s Drinking Water Crisis - Community Water Center,https://www.communitywatercenter.org/2017_18cabudget
"3 million for the initial construction costs of an arsenic treatment plant, Lanare was left without funding for operation and maintenance.","June 13, 2017","['Lanare', 'Fresno']",['Fresno'],"They Built It, But Couldn’t Afford To Run It—Clean Drinking Water Fight Focuses On Gaps In Funding - Community Water Center",https://www.communitywatercenter.org/they_built_it
 Some communities have had arsenic flowing from their taps for over a decade.,"May 22, 2017",[],[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
" “But having arsenic, nitrate or pesticides flowing from your tap is equally an emergency.","May 22, 2017",[],[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
"
Arsenic, nitrate, and disinfectant byproducts are the most commonly occurring contaminants.","May 22, 2017",[],[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
" “But having arsenic, nitrate or pesticides flowing from your tap is equally an emergency.","May 22, 2017",[],[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
" Drinking water with contaminants like arsenic and nitrate can cause rashes, miscarriages, and cancer.","April 20, 2017",['Sacramento'],['Sacramento'],Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
" Drinking water with contaminants like arsenic and nitrate can cause rashes, miscarriages, and cancer.","April 20, 2017",['Sacramento'],['Sacramento'],Resident Testimony Ensures that Senate Bill 623 Passes Unanimously in its First Senate Committee,https://www.communitywatercenter.org/sb623_senate
""" Excellent story on the Glenwood Mobile Home Park outside Stockton, which recently drilled a new well to address nitrate contamination.","February 25, 2017","['Monterey', 'Stockton', 'Fresno', 'Pacifica', 'Sacramento']","['Monterey', 'Sacramento', 'Fresno']",Recent Media Coverage of California Drinking Water Crisis - Community Water Center,https://www.communitywatercenter.org/recent_media_coverage
"
For example, 600 residents living in the Fresno County community of Lanare have had tap water contaminated with unsafe arsenic levels for more than a decade, putting anyone who drinks the water at increased risk for skin rashes, nausea and even cancer from long-term exposure.","February 21, 2017","['Lanare', 'Sacramento', 'Fresno']","['Sacramento', 'Fresno']",Our Op-Ed in the Sunday Sacramento Bee! - Community Water Center,https://www.communitywatercenter.org/sacbeeoped
"
Lanare has an arsenic treatment plant, but shockingly, it sits unused.","February 21, 2017","['Lanare', 'Sacramento', 'Fresno']","['Sacramento', 'Fresno']",Our Op-Ed in the Sunday Sacramento Bee! - Community Water Center,https://www.communitywatercenter.org/sacbeeoped
" In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.","February 13, 2017",[],[],Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
" In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.","February 13, 2017",[],[],Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
" In California, most of the drinking water contamination comes from natural contaminants like arsenic, or nitrates from nitrogen-based fertilizers that were used years ago.","February 13, 2017",[],[],Drinking Water Crisis Brewing in California - Community Water Center,https://www.communitywatercenter.org/drinking_water_crisis_brewing_in_california
" Glenwood's well was contaminated with nitrates, possibly from fertilizer applied by farmers in the area, though that is uncertain.","February 12, 2017",['Stockton'],[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
"
There is a happy ending to the story: Glenwood's owner just forked over $300,000 to drill a new, much deeper well that has eliminated the nitrates.","February 12, 2017",['Stockton'],[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
"
A second well was drilled, but by 2009, it, too, was tapping nitrate-laden water.","February 12, 2017",['Stockton'],[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
" County officials said the health risk pertained mostly to infants under the age of 6 months, who could quickly become seriously ill or even die from drinking nitrates.","February 12, 2017",['Stockton'],[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
" Glenwood's well was contaminated with nitrates, possibly from fertilizer applied by farmers in the area, though that is uncertain.","February 12, 2017",['Stockton'],[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
"
There is a happy ending to the story: Glenwood's owner just forked over $300,000 to drill a new, much deeper well that has eliminated the nitrates.","February 12, 2017",['Stockton'],[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
" County officials said the health risk pertained mostly to infants under the age of 6 months, who could quickly become seriously ill or even die from drinking nitrates.","February 12, 2017",['Stockton'],[],The Challenge of Our Age - Community Water Center,https://www.communitywatercenter.org/the_challenge_of_our_age
" It was one of the schools tested for other metals, including lead, arsenic, copper and zinc, and came up within acceptable levels on all and below detection level on the arsenic.","February 11, 2017","['Folsom', 'Sutter', 'Davis', 'Ceres', 'Sacramento', 'Westport', 'Elk']","['Sacramento', 'Sutter']",Most Sacramento area schools do not test drinking water for lead - Community Water Center,https://www.communitywatercenter.org/most_sacramento_area_schools_do_not_test_for_lead
", where lead contamination made headlines, “a drinking water crisis” in California also exists involving tap water contaminated with nitrates, arsenic and disinfection byproducts, said Laurel Firestone, co-director of the Community Water Center, which began in Visalia and has an office in Sacramento.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
" 
The fund could help fix water systems that have either man-made or natural contamination – the arsenic in the water supply for Kettleman City is naturally occurring, for instance.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
", where lead contamination made headlines, “a drinking water crisis” in California also exists involving tap water contaminated with nitrates, arsenic and disinfection byproducts, said Laurel Firestone, co-director of the Community Water Center, which began in Visalia and has an office in Sacramento.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
"”
The issue affects low-income communities disproportionately, and nitrate contamination disproportionately affects Latino communities, Firestone said.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
"
Assemblyman Devon Mathis, R-Visalia, whose district includes East Porterville where wells ran dry in the drought and where nitrates have been found in drinking water, issued a statement.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
"
“There are people coming down with rashes due to nitrates in the water,” she said.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
"
The advocacy groups did not specifically mention agriculture at a news conference Tuesday but “we know we can’t solve the nitrate problem without agriculture being part of the solution,” said Jenny Rempel, director of education and engagement for Community Water Center, following the news conference.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
", where lead contamination made headlines, “a drinking water crisis” in California also exists involving tap water contaminated with nitrates, arsenic and disinfection byproducts, said Laurel Firestone, co-director of the Community Water Center, which began in Visalia and has an office in Sacramento.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
"
Assemblyman Devon Mathis, R-Visalia, whose district includes East Porterville where wells ran dry in the drought and where nitrates have been found in drinking water, issued a statement.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
"
“There are people coming down with rashes due to nitrates in the water,” she said.","February 10, 2017","['Seville', 'Fresno', 'Tulare', 'Sacramento', 'Porterville', 'Patterson', 'Visalia']","['Sacramento', 'Tulare', 'Fresno']",Clean Water Advocates Have a Solution - Community Water Center,https://www.communitywatercenter.org/clean_water_advocates_have_a_solution
"
The tiny community of San Lucas, eight miles southeast of King City where the Salinas Valley floor rises and begins to fade into hills, has been on bottled water restrictions since October 2016 after two tests found the well supplying drinking water had elevated levels of nitrates.","February 10, 2017","['Monterey', 'Salinas']",['Monterey'],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
"”
San Lucas was on bottled water restrictions from 2011-14 after a different well supplying water to the community was found to have levels of nitrates that exceeded state and federal standards.","February 10, 2017","['Monterey', 'Salinas']",['Monterey'],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
" The well remained a reliable source of water for nearly two years, until elevated nitrate levels were found in two separate tests in July and September of 2016.","February 10, 2017","['Monterey', 'Salinas']",['Monterey'],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
"
The tiny community of San Lucas, eight miles southeast of King City where the Salinas Valley floor rises and begins to fade into hills, has been on bottled water restrictions since October 2016 after two tests found the well supplying drinking water had elevated levels of nitrates.","February 10, 2017","['Monterey', 'Salinas']",['Monterey'],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
"”
San Lucas was on bottled water restrictions from 2011-14 after a different well supplying water to the community was found to have levels of nitrates that exceeded state and federal standards.","February 10, 2017","['Monterey', 'Salinas']",['Monterey'],Tap water in San Lucas is again unsafe to drink. - Community Water Center,https://www.communitywatercenter.org/san_lucas_tap
" They found not only just nitrates, but also TCP.","February 10, 2017","['Seville', 'Davis']",[],Standing Room Only: Briefing California Legislators on the Importance of Funding Safe Drinking Water - Community Water Center,https://www.communitywatercenter.org/standing_room_only
" They found not only just nitrates, but also TCP.","February 10, 2017","['Seville', 'Davis']",[],Standing Room Only: Briefing California Legislators on the Importance of Funding Safe Drinking Water - Community Water Center,https://www.communitywatercenter.org/standing_room_only
"”
Water justice advocates have been working for years to secure a sustainable source of funding to address water affordability challenges and meet both capital cost and operation and maintenance (O&M) needs in low-income communities impacted by nitrates, arsenic, pesticides, and other contaminants.","January 12, 2017",['Tulare'],"['Tulare', 'Sierra']",News Release: Safe and Affordable Drinking Water Needs Recognized in California Budget - Community Water Center,https://www.communitywatercenter.org/news_release_water_california_budget_2017
"”
Water justice advocates have been working for years to secure a sustainable source of funding to address water affordability challenges and meet both capital cost and operation and maintenance (O&M) needs in low-income communities impacted by nitrates, arsenic, pesticides, and other contaminants.","January 12, 2017",['Tulare'],"['Tulare', 'Sierra']",News Release: Safe and Affordable Drinking Water Needs Recognized in California Budget - Community Water Center,https://www.communitywatercenter.org/news_release_water_california_budget_2017
"”
Water justice advocates have been working for years to secure a sustainable source of funding to address water affordability challenges and meet both capital cost and operation and maintenance (O&M) needs in low-income communities impacted by nitrates, arsenic, pesticides, and other contaminants.","January 12, 2017",['Tulare'],"['Tulare', 'Sierra']",News Release: Safe and Affordable Drinking Water Needs Recognized in California Budget - Community Water Center,https://www.communitywatercenter.org/news_release_water_california_budget_2017
" No matter what the state says about our water levels being within the threshold of what’s considered safe for arsenic, I know that no level of arsenic is safe.","December 30, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Porterville'],[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
" Water polluted with nitrates, arsenic, and pesticides looks, smells, and tastes safe, but drinking contaminated water can cause nausea, miscarriages, and cancer.","December 30, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Porterville'],[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
" Water polluted with nitrates, arsenic, and pesticides looks, smells, and tastes safe, but drinking contaminated water can cause nausea, miscarriages, and cancer.","December 30, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Porterville'],[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
" Water polluted with nitrates, arsenic, and pesticides looks, smells, and tastes safe, but drinking contaminated water can cause nausea, miscarriages, and cancer.","December 30, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect",['Porterville'],[],'They’re Not Going to Be Able to Ignore This Entire City Standing Together' - Community Water Center,https://www.communitywatercenter.org/city_standing_together
"”
Wieckowski’s bill followed a 2015 report by the State Water Resources Control Board that found small water systems more often have violations for contaminants such as arsenic, nitrate and uranium.","December 14, 2016","['Sonoma', 'Fresno', 'Tulare', 'Bodega', 'Orange', 'Williams', 'Sanger']","['Sonoma', 'Tulare', 'Fresno', 'Orange']",Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
" After multiple high levels of arsenic, the Pratt Mutual Water Company, which served about 1,500 mostly poor and Latino residents in the Matheny Tract community of Tulare County, was mandated to join the city of Tulare system.","December 14, 2016","['Sonoma', 'Fresno', 'Tulare', 'Bodega', 'Orange', 'Williams', 'Sanger']","['Sonoma', 'Tulare', 'Fresno', 'Orange']",Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
"”
Wieckowski’s bill followed a 2015 report by the State Water Resources Control Board that found small water systems more often have violations for contaminants such as arsenic, nitrate and uranium.","December 14, 2016","['Sonoma', 'Fresno', 'Tulare', 'Bodega', 'Orange', 'Williams', 'Sanger']","['Sonoma', 'Tulare', 'Fresno', 'Orange']",Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
" The school’s own system was giving students and staff water with high levels of nitrate, a naturally occurring chemical that can be elevated because of agricultural runoff.","December 14, 2016","['Sonoma', 'Fresno', 'Tulare', 'Bodega', 'Orange', 'Williams', 'Sanger']","['Sonoma', 'Tulare', 'Fresno', 'Orange']",Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
"
Sepulveda said he knew nitrates were a problem but not lead.","December 14, 2016","['Sonoma', 'Fresno', 'Tulare', 'Bodega', 'Orange', 'Williams', 'Sanger']","['Sonoma', 'Tulare', 'Fresno', 'Orange']",Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
"
Sepulveda said he knew nitrates were a problem but not lead.","December 14, 2016","['Sonoma', 'Fresno', 'Tulare', 'Bodega', 'Orange', 'Williams', 'Sanger']","['Sonoma', 'Tulare', 'Fresno', 'Orange']",Toxic water plagues rural California - Community Water Center,https://www.communitywatercenter.org/toxic_water
" The other one is polluted with nitrates, colorless odorless contaminants linked to fertilizer use.","October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
"
Boiling nitrates, by the way, doesn’t get rid of them.","October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
 One of the town’s wells has high level of nitrates.,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
" The other one is polluted with nitrates, colorless odorless contaminants linked to fertilizer use.","October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
"
Boiling nitrates, by the way, doesn’t get rid of them.","October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
 One of the town’s wells has high level of nitrates.,"October 24, 2016","['Tulare', 'Poplar']",['Tulare'],Why Is an 11-Year-Old Registering His Neighbors to Vote? It’s the Water - Community Water Center,https://www.communitywatercenter.org/11yearold_registering_voters
"html


 
A state water agency has told some farmers in Tulare County that their operations caused nitrates to get into drinking water, and that the contamination must be replaced with a clean source.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
" Nitrates are a byproduct of nitrogen in fertilizers used in agriculture for decades, although some farmers point out nitrates also occur naturally.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
LoBue said the answer to the nitrate problem in drinking water should not involve the enforcement division of the state board.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
" 
“It’s the only mechanism we have” to help the small water systems serving poor communities get nitrate-free drinking water, she said.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"6 million people rely on groundwater polluted by nitrates, including many of the poorest communities in the state.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"”
Problems with the water
The problem of nitrates in drinking water has been a ticking time bomb in farm country for years, especially since 2010, when the Legislature ordered the State Water Resources Control Board to prepare a report about nitrates in drinking water.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
